datetime,temperature,humidity,wind_speed,rain
2024-10-10 18:00:06,22.86,85,2.24,0.0
2024-10-10 19:00:06,23.0,84,6.69,0.0
2024-10-10 20:00:07,23.58,84,1.34,0.0
2024-10-10 21:00:06,23.95,84,2.24,0.0
2024-10-10 22:00:06,23.04,89,2.24,0.0
2024-10-10 23:00:08,21.68,93,2.24,0.65
2024-10-11 00:00:07,21.15,94,0.89,0.0
2024-10-11 01:00:08,21.48,93,2.24,0.0
2024-10-11 02:00:07,21.49,90,1.79,0.0
2024-10-11 03:00:09,21.67,90,1.79,0.0
2024-10-11 04:00:07,21.67,89,2.68,0.0
2024-10-11 05:00:07,21.67,88,2.24,0.0
2024-10-11 06:00:07,21.67,88,1.79,0.0
2024-10-11 07:00:09,21.52,88,2.24,0.0
2024-10-11 08:00:07,21.15,89,4.99,0.0
2024-10-11 09:00:07,20.72,90,1.34,0.0
2024-10-11 10:00:07,20.72,90,1.79,0.0
2024-10-11 11:00:07,21.07,88,1.79,0.0
2024-10-11 12:00:07,21.46,88,1.34,0.0
2024-10-11 13:00:07,22.26,86,1.79,0.0
2024-10-11 14:00:07,24.42,80,2.68,0.0
2024-10-11 15:00:07,25.54,72,7.15,0.0
2024-10-11 16:00:07,26.45,68,4.02,0.0
2024-10-11 17:00:07,27.03,67,2.24,0.0
2024-10-11 18:00:08,27.56,66,3.13,0.0
2024-10-11 19:00:07,27.84,65,2.68,0.0
2024-10-11 20:00:07,27.47,65,2.68,0.0
2024-10-11 21:00:07,26.37,66,1.34,0.0
2024-10-11 22:00:07,25.75,69,2.24,0.0
2024-10-11 23:00:07,24.67,73,1.34,0.0
2024-10-12 00:00:07,23.31,75,1.34,0.0
2024-10-12 01:00:06,22.86,77,2.24,0.0
2024-10-12 02:00:06,22.29,82,1.79,0.0
2024-10-12 03:00:08,22.29,83,1.34,0.0
2024-10-12 04:00:07,21.96,84,2.24,0.0
2024-10-12 05:00:07,21.59,86,2.75,0.0
2024-10-12 06:00:07,21.5,88,2.24,0.0
2024-10-12 07:00:07,21.52,87,0.89,0.0
2024-10-12 08:00:09,21.38,89,2.73,0.0
2024-10-12 09:00:07,20.94,90,0.45,0.0
2024-10-12 10:00:06,20.28,91,0.45,0.0
2024-10-12 11:00:09,20.28,92,0.45,0.0
2024-10-12 12:00:08,20.43,93,0.89,0.0
2024-10-12 13:00:07,22.61,88,1.34,0.0
2024-10-12 14:00:07,24.82,82,2.24,0.0
2024-10-12 15:00:07,26.83,73,2.24,0.0
2024-10-12 16:00:08,26.93,69,2.88,0.0
2024-10-12 17:00:08,27.78,61,3.39,0.0
2024-10-12 18:00:09,27.58,66,3.73,0.0
2024-10-12 19:00:07,28.43,62,1.34,0.0
2024-10-12 20:00:07,27.89,61,1.34,0.0
2024-10-12 21:00:08,28.49,59,1.79,0.0
2024-10-12 22:00:07,27.21,64,3.34,0.0
2024-10-12 23:00:07,26.63,65,2.24,0.0
2024-10-13 00:00:08,24.41,72,0.45,0.0
2024-10-13 01:00:07,23.85,78,0.45,0.0
2024-10-13 02:00:06,22.34,84,2.87,0.0
2024-10-13 03:00:06,21.26,87,2.74,0.0
2024-10-13 04:00:06,21.29,90,0.89,0.0
2024-10-13 05:00:07,21.09,91,2.26,0.0
2024-10-13 06:00:07,20.67,93,2.12,0.0
2024-10-13 07:00:07,20.67,93,1.85,0.0
2024-10-13 08:00:07,20.67,94,1.81,0.0
2024-10-13 09:00:07,20.66,95,1.95,0.0
2024-10-13 10:00:07,20.68,95,2.22,0.0
2024-10-13 11:00:07,20.68,95,2.43,0.0
2024-10-13 12:00:08,20.59,95,0.89,0.0
2024-10-13 13:00:07,22.56,94,1.34,0.0
2024-10-13 14:00:09,25.57,82,3.13,0.0
2024-10-13 15:00:07,27.5,74,1.34,0.0
2024-10-13 16:00:07,27.56,72,2.68,0.0
2024-10-13 17:00:07,28.94,67,1.34,0.0
2024-10-13 18:00:07,28.26,68,2.43,0.0
2024-10-13 19:00:07,29.73,62,1.34,0.0
2024-10-13 20:00:08,28.81,66,1.79,0.0
2024-10-13 21:00:07,28.0,70,1.79,0.0
2024-10-13 22:00:07,27.6,70,1.79,0.0
2024-10-13 23:00:07,26.18,76,1.34,0.0
2024-10-14 00:00:07,24.96,80,3.17,0.0
2024-10-14 01:00:07,23.86,85,2.56,0.0
2024-10-14 02:00:07,23.3,88,0.45,0.0
2024-10-14 03:00:07,22.38,90,1.96,0.0
2024-10-14 04:00:07,21.26,92,1.67,0.0
2024-10-14 05:00:07,21.28,93,1.51,0.0
2024-10-14 06:00:07,21.16,94,1.62,0.0
2024-10-14 07:00:07,20.66,94,1.1,0.0
2024-10-14 08:00:07,20.68,95,0.92,0.0
2024-10-14 09:00:08,20.16,95,1.56,0.0
2024-10-14 10:00:07,20.57,96,1.74,0.0
2024-10-14 11:00:07,19.59,96,1.83,0.0
2024-10-14 12:00:07,19.49,96,1.75,0.0
2024-10-14 13:00:08,21.62,97,1.82,0.0
2024-10-14 14:00:07,24.7,87,2.24,0.0
2024-10-14 15:00:09,25.76,81,1.79,0.0
2024-10-14 16:00:08,26.79,72,2.68,0.0
2024-10-14 17:00:08,27.55,63,2.68,0.0
2024-10-14 18:00:07,28.85,53,0.45,0.0
2024-10-14 19:00:07,29.28,48,0.89,0.0
2024-10-14 20:00:07,29.32,48,0.45,0.0
2024-10-14 21:00:07,29.46,49,0.45,0.0
2024-10-14 22:00:07,29.33,51,0.89,0.0
2024-10-14 23:00:07,26.36,59,2.11,0.0
2024-10-15 00:00:09,23.9,74,2.68,0.0
2024-10-15 01:00:09,22.77,79,2.52,0.0
2024-10-15 02:00:09,21.94,80,2.65,0.0
2024-10-15 03:00:08,22.31,65,2.58,0.0
2024-10-15 04:00:07,20.09,87,2.62,0.0
2024-10-15 05:00:07,21.12,69,2.57,0.0
2024-10-15 06:00:08,19.0,91,2.45,0.0
2024-10-15 07:00:06,19.37,76,2.47,0.0
2024-10-15 08:00:06,19.4,94,2.38,0.0
2024-10-15 09:00:06,18.45,94,2.28,0.0
2024-10-15 10:00:07,18.41,95,2.16,0.0
2024-10-15 11:00:07,19.41,95,2.04,0.0
2024-10-15 12:00:07,18.83,96,1.8,0.0
2024-10-15 13:00:07,21.49,96,0.89,0.0
2024-10-15 14:00:07,22.78,95,0.45,0.0
2024-10-15 15:00:06,25.42,83,1.94,0.0
2024-10-15 16:00:09,26.26,77,2.28,0.0
2024-10-15 17:00:08,27.11,75,0.45,0.0
2024-10-15 18:00:06,28.51,68,1.34,0.0
2024-10-15 19:00:08,29.67,59,1.79,0.0
2024-10-15 20:00:07,29.44,59,0.89,0.0
2024-10-15 21:00:07,29.9,57,2.85,0.0
2024-10-15 22:00:08,29.28,61,2.5,0.0
2024-10-15 23:00:07,27.76,68,2.73,0.0
2024-10-16 00:00:07,24.68,81,3.16,0.0
2024-10-16 01:00:07,25.05,83,3.13,0.0
2024-10-16 02:00:07,24.09,86,1.34,0.0
2024-10-16 03:00:06,23.17,88,2.0,0.0
2024-10-16 04:00:06,22.71,90,2.05,0.0
2024-10-16 05:00:07,21.96,91,2.05,0.0
2024-10-16 06:00:07,21.1,93,1.95,0.0
2024-10-16 07:00:08,21.81,94,1.44,0.0
2024-10-16 08:00:08,21.45,93,2.2,0.0
2024-10-16 09:00:07,20.7,91,2.14,0.0
2024-10-16 10:00:07,19.57,91,2.34,0.0
2024-10-16 11:00:09,19.06,91,2.58,0.0
2024-10-16 12:00:08,19.02,90,0.45,0.0
2024-10-16 13:00:06,21.43,83,2.24,0.0
2024-10-16 14:00:07,20.93,76,4.92,0.0
2024-10-16 15:00:07,21.15,67,2.68,0.0
2024-10-16 16:00:08,22.61,56,3.58,0.0
2024-10-16 17:00:07,22.55,56,3.13,0.0
2024-10-16 18:00:07,21.51,59,4.47,0.0
2024-10-16 19:00:08,20.93,59,4.92,0.0
2024-10-16 20:00:08,20.42,57,2.68,0.0
2024-10-16 21:00:07,20.78,59,4.02,0.0
2024-10-16 22:00:07,19.08,60,3.58,0.0
2024-10-16 23:00:08,17.61,63,1.79,0.0
2024-10-17 00:00:09,17.1,65,2.68,0.0
2024-10-17 01:00:08,16.32,64,6.71,0.0
2024-10-17 02:00:09,16.38,64,2.24,0.0
2024-10-17 03:00:08,15.85,66,3.58,0.0
2024-10-17 04:00:08,15.76,67,1.79,0.0
2024-10-17 05:00:08,15.64,67,2.24,0.0
2024-10-17 06:00:07,14.75,71,0.89,0.0
2024-10-17 07:00:09,14.94,70,1.79,0.0
2024-10-17 08:00:08,13.56,75,0.89,0.0
2024-10-17 09:00:08,13.95,75,0.89,0.0
2024-10-17 10:00:07,13.95,77,2.68,0.0
2024-10-17 11:00:07,13.58,79,1.79,0.0
2024-10-17 12:00:07,13.44,80,3.67,0.0
2024-10-17 13:00:06,16.48,74,4.47,0.0
2024-10-17 14:00:07,19.42,66,3.58,0.0
2024-10-17 15:00:07,21.64,61,5.81,0.0
2024-10-17 16:00:07,22.42,58,5.96,0.0
